Place_Id,score
262,1
289,1
270,1
225,1
233,1
305,1
306,1
317,1
332,1
312,1
238,1
318,1
328,1
214,1
269,1
331,1
239,1
211,1
334,1
218,1
232,1
220,1
234,1
219,1
215,1
327,1
321,1
330,1
235,1
316,1
313,1
216,1
333,1
226,1
301,1
300,1
297,1
296,1
240,1
245,1
246,1
247,1
256,1
267,1
230,1
261,1
308,1
311,1
237,1
299,1
277,1
273,1
224,1
324,1
250,1
276,1
249,1
282,1
326,1
217,1
291,1
242,1
229,1
320,1
275,1
252,1
281,1
